tanggal_pencairan,jenis_pinjaman,status_peminjam,jumlah_pinjaman,total_pengembalian,durasi_hari,porsi_pengembalian_lender,status_gagal_bayar
8613,0.0245301577169117,0.04278439516757396,959000.0,959000.0,7.0,287000.0,0
8624,0.0245301577169117,0.04278439516757396,55000.0,55000.0,7.0,16000.0,0
8617,0.0245301577169117,0.04278439516757396,655000.0,666000.0,7.0,199000.0,0
9432,0.19724558736671377,0.04278439516757396,611000.0,632000.0,7.0,126000.0,0
8652,0.0245301577169117,0.04278439516757396,573000.0,573000.0,7.0,127000.0,0
8622,0.0245301577169117,0.04278439516757396,946000.0,969000.0,7.0,290000.0,0
8680,0.0245301577169117,0.04278439516757396,499000.0,499000.0,7.0,76000.0,0
8725,0.0245301577169117,0.04278439516757396,777000.0,796000.0,7.0,0.0,0
8692,0.0245301577169117,0.04278439516757396,655000.0,671000.0,7.0,201000.0,0
8665,0.0245301577169117,0.04278439516757396,1091000.0,1091000.0,7.0,327000.0,0
8925,0.2692488288390421,0.04278439516757396,35295000.0,38842000.0,90.0,7768000.0,0
8714,0.0245301577169117,0.04278439516757396,569000.0,580000.0,7.0,0.0,0
8631,0.0245301577169117,0.04278439516757396,1385000.0,1410000.0,7.0,423000.0,0
8714,0.0245301577169117,0.04278439516757396,5063000.0,5063000.0,7.0,1481000.0,0
8644,0.0245301577169117,0.04278439516757396,279000.0,289000.0,7.0,86000.0,0
8627,0.0245301577169117,0.04278439516757396,531000.0,550000.0,7.0,0.0,0
9364,0.19724558736671377,0.04278439516757396,563000.0,617000.0,7.0,123000.0,1
8604,0.0245301577169117,0.04278439516757396,297000.0,299000.0,7.0,89000.0,0
9148,0.2692488288390421,0.04278439516757396,6052000.0,6778000.0,60.0,1694000.0,0
8620,0.0245301577169117,0.04278439516757396,1027000.0,1058000.0,7.0,317000.0,0
8648,0.0245301577169117,0.04278439516757396,673000.0,673000.0,7.0,202000.0,0
8602,0.0245301577169117,0.04278439516757396,1101000.0,1101000.0,7.0,330000.0,0
8709,0.0245301577169117,0.04278439516757396,439000.0,440000.0,7.0,0.0,0
9332,0.19724558736671377,0.04278439516757396,150000.0,155000.0,7.0,31000.0,0
8632,0.0245301577169117,0.04278439516757396,348000.0,348000.0,7.0,0.0,0
8634,0.0245301577169117,0.04278439516757396,323000.0,323000.0,7.0,3000.0,0
8621,0.0245301577169117,0.04278439516757396,729000.0,752000.0,7.0,225000.0,0
8620,0.0245301577169117,0.04278439516757396,656000.0,774000.0,7.0,232000.0,1
8686,0.0245301577169117,0.04278439516757396,547000.0,567000.0,7.0,170000.0,0
8595,0.0245301577169117,0.04278439516757396,57000.0,57000.0,7.0,17000.0,0
8634,0.0245301577169117,0.04278439516757396,346000.0,354000.0,7.0,98000.0,0
8642,0.0245301577169117,0.04278439516757396,558000.0,562000.0,7.0,120000.0,0
8702,0.0245301577169117,0.04278439516757396,1986000.0,2047000.0,7.0,614000.0,0
8631,0.0245301577169117,0.04278439516757396,6120000.0,6306000.0,7.0,1892000.0,0
8674,0.0245301577169117,0.04278439516757396,252000.0,262000.0,7.0,0.0,0
8705,0.0245301577169117,0.04278439516757396,509000.0,532000.0,7.0,159000.0,0
8650,0.0245301577169117,0.04278439516757396,336000.0,336000.0,7.0,100000.0,0
8729,0.0245301577169117,0.04278439516757396,1570000.0,1570000.0,7.0,0.0,0
8608,0.0245301577169117,0.04278439516757396,518000.0,518000.0,7.0,155000.0,0
8611,0.0245301577169117,0.04278439516757396,208000.0,211000.0,7.0,63000.0,0
8642,0.0245301577169117,0.04278439516757396,491000.0,495000.0,7.0,149000.0,0
8695,0.0245301577169117,0.04278439516757396,126000.0,128000.0,7.0,13000.0,0
8600,0.0245301577169117,0.04278439516757396,1814000.0,1814000.0,7.0,544000.0,0
8706,0.0245301577169117,0.04278439516757396,960000.0,960000.0,7.0,0.0,0
8646,0.0245301577169117,0.04278439516757396,310000.0,310000.0,7.0,0.0,0
8693,0.0245301577169117,0.04278439516757396,227000.0,229000.0,-1.0,68000.0,0
8721,0.0245301577169117,0.04278439516757396,1709000.0,1761000.0,7.0,6000.0,0
8725,0.0245301577169117,0.04278439516757396,227000.0,227000.0,7.0,68000.0,0
8649,0.0245301577169117,0.04278439516757396,800000.0,800000.0,7.0,240000.0,0
8595,0.0245301577169117,0.04278439516757396,365000.0,365000.0,7.0,109000.0,0
8662,0.0245301577169117,0.04278439516757396,627000.0,634000.0,7.0,190000.0,0
8660,0.0245301577169117,0.04278439516757396,577000.0,598000.0,7.0,0.0,0
8663,0.0245301577169117,0.04278439516757396,5376000.0,5740000.0,7.0,0.0,0
8671,0.0245301577169117,0.04278439516757396,812000.0,837000.0,7.0,251000.0,0
8639,0.0245301577169117,0.04278439516757396,194000.0,198000.0,7.0,59000.0,0
8650,0.0245301577169117,0.04278439516757396,291000.0,291000.0,7.0,87000.0,0
8642,0.0245301577169117,0.04278439516757396,132000.0,132000.0,7.0,39000.0,0
8630,0.0245301577169117,0.04278439516757396,1250000.0,1289000.0,7.0,81000.0,0
8679,0.0245301577169117,0.04278439516757396,263000.0,263000.0,7.0,79000.0,0
8711,0.0245301577169117,0.04278439516757396,630000.0,630000.0,7.0,189000.0,0
8639,0.0245301577169117,0.04278439516757396,2125000.0,2125000.0,7.0,0.0,0
8635,0.0245301577169117,0.04278439516757396,1608000.0,2199000.0,7.0,659000.0,1
8652,0.0245301577169117,0.04278439516757396,601000.0,620000.0,7.0,84000.0,0
9321,0.19724558736671377,0.04278439516757396,534000.0,553000.0,7.0,110000.0,0
8594,0.0245301577169117,0.04278439516757396,1959000.0,2011000.0,7.0,603000.0,0
8620,0.0245301577169117,0.04278439516757396,8462000.0,8719000.0,7.0,2615000.0,0
8593,0.0245301577169117,0.04278439516757396,599000.0,599000.0,7.0,299000.0,0
8663,0.0245301577169117,0.04278439516757396,275000.0,275000.0,7.0,0.0,0
8597,0.0245301577169117,0.04278439516757396,421000.0,427000.0,7.0,128000.0,0
8700,0.0245301577169117,0.04278439516757396,416000.0,419000.0,7.0,125000.0,0
8646,0.0245301577169117,0.04278439516757396,2456000.0,2531000.0,7.0,759000.0,0
8685,0.0245301577169117,0.04278439516757396,23000.0,23000.0,7.0,0.0,0
8707,0.0245301577169117,0.04278439516757396,1793000.0,1793000.0,7.0,0.0,0
8693,0.0245301577169117,0.04278439516757396,304000.0,313000.0,7.0,94000.0,0
9447,0.19724558736671377,0.04278439516757396,824000.0,853000.0,7.0,142000.0,0
8711,0.0245301577169117,0.04278439516757396,3447000.0,3551000.0,7.0,1065000.0,0
8656,0.0245301577169117,0.04278439516757396,555000.0,555000.0,7.0,0.0,0
8632,0.0245301577169117,0.04278439516757396,27000.0,29000.0,7.0,8000.0,0
8627,0.0245301577169117,0.04278439516757396,283000.0,283000.0,7.0,85000.0,0
8722,0.0245301577169117,0.04278439516757396,52000.0,52000.0,7.0,15000.0,0
8644,0.0245301577169117,0.04278439516757396,260000.0,260000.0,7.0,0.0,0
8616,0.0245301577169117,0.04278439516757396,3685000.0,3685000.0,7.0,1105000.0,0
8636,0.0245301577169117,0.04278439516757396,11524000.0,11668000.0,7.0,3500000.0,0
8657,0.0245301577169117,0.04278439516757396,91000.0,94000.0,7.0,28000.0,0
8595,0.0245301577169117,0.04278439516757396,508000.0,508000.0,7.0,152000.0,0
8715,0.0245301577169117,0.04278439516757396,470000.0,486000.0,7.0,0.0,0
8698,0.0245301577169117,0.04278439516757396,180000.0,183000.0,7.0,54000.0,0
8718,0.0245301577169117,0.04278439516757396,1363000.0,1404000.0,7.0,421000.0,0
8651,0.0245301577169117,0.04278439516757396,3553000.0,3553000.0,7.0,1065000.0,0
8660,0.0245301577169117,0.04278439516757396,353000.0,364000.0,7.0,0.0,0
8628,0.0245301577169117,0.04278439516757396,286000.0,286000.0,7.0,86000.0,0
8695,0.0245301577169117,0.04278439516757396,5917000.0,5952000.0,7.0,1785000.0,0
8632,0.0245301577169117,0.04278439516757396,111000.0,115000.0,7.0,34000.0,0
8733,0.20158321137682253,0.04278439516757396,2829000.0,2983000.0,14.0,397000.0,0
8691,0.0245301577169117,0.04278439516757396,515000.0,515000.0,7.0,0.0,0
8634,0.0245301577169117,0.04278439516757396,451000.0,454000.0,7.0,80000.0,0
8597,0.0245301577169117,0.04278439516757396,597000.0,613000.0,7.0,184000.0,0
8706,0.0245301577169117,0.04278439516757396,187000.0,194000.0,7.0,58000.0,0
8664,0.0245301577169117,0.04278439516757396,124000.0,124000.0,7.0,37000.0,0
8653,0.0245301577169117,0.04278439516757396,564000.0,580000.0,7.0,174000.0,0
8688,0.0245301577169117,0.04278439516757396,1281000.0,1281000.0,7.0,1000.0,0
8676,0.0245301577169117,0.04278439516757396,46000.0,46000.0,7.0,0.0,0
8606,0.0245301577169117,0.04278439516757396,11724000.0,11724000.0,7.0,3517000.0,0
8659,0.0245301577169117,0.04278439516757396,5395000.0,5560000.0,7.0,57000.0,0
8658,0.0245301577169117,0.04278439516757396,909000.0,909000.0,7.0,0.0,0
8634,0.0245301577169117,0.04278439516757396,524000.0,524000.0,7.0,87000.0,0
8646,0.0245301577169117,0.04278439516757396,340000.0,350000.0,7.0,105000.0,0
8646,0.0245301577169117,0.04278439516757396,219000.0,224000.0,7.0,0.0,0
8694,0.0245301577169117,0.04278439516757396,1799000.0,1821000.0,7.0,546000.0,0
8655,0.0245301577169117,0.04278439516757396,269000.0,272000.0,7.0,0.0,0
8659,0.0245301577169117,0.04278439516757396,216000.0,226000.0,7.0,0.0,0
8603,0.0245301577169117,0.04278439516757396,279000.0,279000.0,7.0,83000.0,0
