id_transaksi,tanggal_pencairan,provinsi,jenis_pinjaman,status_peminjam,jumlah_pinjaman,total_pengembalian,durasi_hari,porsi_pengembalian_lender,sektor_usaha,pendidikan,jenis_jaminan,status_gagal_bayar
1,8613,0.0482321730351642,0.0245301577169117,0.04278439516757396,959000.0,959000.0,7.0,287000.0,0.03715700001199793,0.045720001868287743,0.04595837523907229,0
2,8624,0.044041535102400095,0.0245301577169117,0.04278439516757396,55000.0,55000.0,7.0,16000.0,0.04234349961644255,0.04239647201789136,0.040905129682638354,0
3,8617,0.0482321730351642,0.0245301577169117,0.04278439516757396,655000.0,666000.0,7.0,199000.0,0.03715700001199793,0.043635290639719,0.04595837523907229,0
4,9432,0.044041535102400095,0.19724558736671377,0.04278439516757396,611000.0,632000.0,7.0,126000.0,0.04234349961644255,0.04457615082993782,0.04218482976206126,0
5,8652,0.04388129891835607,0.0245301577169117,0.04278439516757396,573000.0,573000.0,7.0,127000.0,0.042774747625723024,0.04239647201789136,0.04833576696034471,0
6,8622,0.04122981544509498,0.0245301577169117,0.04278439516757396,946000.0,969000.0,7.0,290000.0,0.047598000426299865,0.043635290639719,0.04218482976206126,0
7,8680,0.044041535102400095,0.0245301577169117,0.04278439516757396,499000.0,499000.0,7.0,76000.0,0.042774747625723024,0.045720001868287743,0.04833576696034471,0
8,8725,0.04122981544509498,0.0245301577169117,0.04278439516757396,777000.0,796000.0,7.0,0.0,0.042774747625723024,0.043635290639719,0.04218482976206126,0
9,8692,0.044041535102400095,0.0245301577169117,0.04278439516757396,655000.0,671000.0,7.0,201000.0,0.03715700001199793,0.043635290639719,0.040905129682638354,0
10,8665,0.044041535102400095,0.0245301577169117,0.04278439516757396,1091000.0,1091000.0,7.0,327000.0,0.047598000426299865,0.045720001868287743,0.040905129682638354,0
11,8925,0.044041535102400095,0.2692488288390421,0.04278439516757396,35295000.0,38842000.0,90.0,7768000.0,0.04234349961644255,0.045720001868287743,0.040905129682638354,0
13,8714,0.044041535102400095,0.0245301577169117,0.04278439516757396,569000.0,580000.0,7.0,0.0,0.03715700001199793,0.04457615082993782,0.040905129682638354,0
14,8631,0.0482321730351642,0.0245301577169117,0.04278439516757396,1385000.0,1410000.0,7.0,423000.0,0.04234349961644255,0.043635290639719,0.04595837523907229,0
15,8714,0.04122981544509498,0.0245301577169117,0.04278439516757396,5063000.0,5063000.0,7.0,1481000.0,0.04716115342803307,0.04457615082993782,0.04595837523907229,0
16,8644,0.04388129891835607,0.0245301577169117,0.04278439516757396,279000.0,289000.0,7.0,86000.0,0.03715700001199793,0.04457615082993782,0.040905129682638354,0
17,8627,0.04388129891835607,0.0245301577169117,0.04278439516757396,531000.0,550000.0,7.0,0.0,0.04716115342803307,0.043635290639719,0.04595837523907229,0
19,9364,0.044041535102400095,0.19724558736671377,0.04278439516757396,563000.0,617000.0,7.0,123000.0,0.048744479883604086,0.04457615082993782,0.04595837523907229,1
20,8604,0.04122981544509498,0.0245301577169117,0.04278439516757396,297000.0,299000.0,7.0,89000.0,0.04234349961644255,0.04457615082993782,0.04833576696034471,0
21,9148,0.044041535102400095,0.2692488288390421,0.04278439516757396,6052000.0,6778000.0,60.0,1694000.0,0.04716115342803307,0.043635290639719,0.04595837523907229,0
22,8620,0.04388129891835607,0.0245301577169117,0.04278439516757396,1027000.0,1058000.0,7.0,317000.0,0.03715700001199793,0.04457615082993782,0.04833576696034471,0
23,8648,0.044041535102400095,0.0245301577169117,0.04278439516757396,673000.0,673000.0,7.0,202000.0,0.047598000426299865,0.04457615082993782,0.04595837523907229,0
25,8602,0.04388129891835607,0.0245301577169117,0.04278439516757396,1101000.0,1101000.0,7.0,330000.0,0.042774747625723024,0.045720001868287743,0.040905129682638354,0
26,8709,0.04122981544509498,0.0245301577169117,0.04278439516757396,439000.0,440000.0,7.0,0.0,0.048744479883604086,0.043635290639719,0.04218482976206126,0
27,9332,0.04122981544509498,0.19724558736671377,0.04278439516757396,150000.0,155000.0,7.0,31000.0,0.04716115342803307,0.04457615082993782,0.040905129682638354,0
28,8632,0.0482321730351642,0.0245301577169117,0.04278439516757396,348000.0,348000.0,7.0,0.0,0.04716115342803307,0.043635290639719,0.04595837523907229,0
